Date,Price,Open,High,Low,Volume,Chg%
"Nov 23, 2020",12926.45,12960.3,12968.85,12825.7,633.12B,0.52%
"Nov 20, 2020",12859.05,12813.4,12892.45,12730.25,664.00B,0.68%
"Nov 19, 2020",12771.7,12839.5,12963,12745.75,768.75B,-1.29%
"Nov 18, 2020",12938.25,12860.1,12948.85,12819.35,731.32B,0.50%
"Nov 17, 2020",12874.2,12932.5,12934.05,12797.1,707.68B,0.74%
"Nov 14, 2020",12780.25,12823.35,12828.7,12749.45,107.87B,0.47%
"Nov 13, 2020",12719.95,12659.7,12735.95,12607.7,513.95B,0.23%
"Nov 12, 2020",12690.8,12702.15,12741.15,12624.85,622.02B,-0.46%
"Nov 11, 2020",12749.15,12680.6,12769.75,12571.1,880.47B,0.93%
"Nov 10, 2020",12631.1,12556.4,12643.9,12475.25,847.45B,1.36%
"Nov 09, 2020",12461.05,12399.4,12474.05,12367.35,553.45B,1.61%
"Nov 06, 2020",12263.55,12156.65,12280.4,12131.85,576.84B,1.18%
"Nov 05, 2020",12120.3,12062.4,12131.1,12027.6,632.45B,1.78%
"Nov 04, 2020",11908.5,11783.35,11929.65,11756.4,667.29B,0.80%
"Nov 03, 2020",11813.5,11734.45,11836.2,11723.3,674.30B,1.24%
"Nov 02, 2020",11669.15,11697.35,11725.65,11557.4,568.43B,0.23%
"Oct 30, 2020",11642.4,11678.45,11748.95,11535.45,553.67B,-0.24%
"Oct 29, 2020",11670.8,11633.3,11744.15,11606.45,554.96B,-0.50%
"Oct 28, 2020",11729.6,11922.6,11929.4,11684.85,704.02B,-1.34%
"Oct 27, 2020",11889.4,11807.1,11899.05,11723,616.32B,1.03%
"Oct 26, 2020",11767.75,11937.4,11942.85,11711.7,519.82B,-1.36%
"Oct 23, 2020",11930.35,11957.9,11974.55,11908.75,502.34B,0.28%
"Oct 22, 2020",11896.45,11890,11939.55,11823.45,544.90B,-0.35%
"Oct 21, 2020",11937.65,11958.55,12018.65,11775.75,623.66B,0.34%
"Oct 20, 2020",11896.8,11861,11949.25,11837.25,453.56B,0.20%
"Oct 19, 2020",11873.05,11879.2,11898.25,11820.4,541.42B,0.94%
"Oct 16, 2020",11762.45,11727.4,11789.75,11667.85,555.77B,0.70%
"Oct 15, 2020",11680.35,12023.45,12025.45,11661.3,608.87B,-2.43%
"Oct 14, 2020",11971.05,11917.4,11997.2,11822.15,569.24B,0.31%
"Oct 13, 2020",11934.5,11934.65,11988.2,11888.9,458.31B,0.03%
"Oct 12, 2020",11930.95,11973.55,12022.05,11867.2,522.63B,0.14%
"Oct 09, 2020",11914.2,11852.05,11938.6,11805.2,611.08B,0.67%
"Oct 08, 2020",11834.6,11835.4,11905.7,11791.15,608.77B,0.82%
"Oct 07, 2020",11738.85,11679.25,11763.05,11629.35,513.37B,0.66%
"Oct 06, 2020",11662.4,11603.45,11680.3,11564.3,561.45B,1.38%
"Oct 05, 2020",11503.35,11487.8,11578.05,11452.3,530.60B,0.76%
"Oct 01, 2020",11416.95,11364.45,11428.6,11347.05,447.74B,1.51%
"Sep 30, 2020",11247.55,11244.45,11295.4,11184.55,499.34B,0.22%
"Sep 29, 2020",11222.4,11288.6,11305.4,11181,498.30B,-0.05%
"Sep 28, 2020",11227.55,11140.85,11239.35,11099.85,472.78B,1.60%
"Sep 25, 2020",11050.25,10910.4,11072.6,10854.85,559.60B,2.26%
"Sep 24, 2020",10805.55,11011,11015.3,10790.2,706.14B,-2.93%
"Sep 23, 2020",11131.85,11258.75,11259.55,11024.4,714.93B,-0.20%
